Date,Day,Name,Type,Country
01-Jan-24,Monday,New Year's Day,National Holiday,ireland
05-Feb-24,Monday,St. Brigid’s Day,National Holiday,ireland
17-Mar-24,Sunday,St. Patrick's Day,National Holiday,ireland
01-Apr-24,Monday,Easter Monday,National Holiday,ireland
06-May-24,Monday,May Day,National Holiday,ireland
03-Jun-24,Monday,June Bank Holiday,National Holiday,ireland
05-Aug-24,Monday,August Bank Holiday,National Holiday,ireland
28-Oct-24,Monday,October Bank Holiday,National Holiday,ireland
25-Dec-24,Wednesday,Christmas Day,National Holiday,ireland
26-Dec-24,Thursday,St. Stephen's Day,National Holiday,ireland
01-Jan-24,Monday,New Year's Day,National Holiday,iceland
28-Mar-24,Thursday,Maundy Thursday,National Holiday,iceland
29-Mar-24,Friday,Good Friday,National Holiday,iceland
31-Mar-24,Sunday,Easter Sunday,National Holiday,iceland
01-Apr-24,Monday,Easter Monday,National Holiday,iceland
25-Apr-24,Thursday,First Day of Summer,National Holiday,iceland
01-May-24,Wednesday,Labour Day,National Holiday,iceland
09-May-24,Thursday,Ascension Day,National Holiday,iceland
19-May-24,Sunday,Whit Sunday,National Holiday,iceland
20-May-24,Monday,Whit Monday,National Holiday,iceland
17-Jun-24,Monday,Icelandic Republic Day,National Holiday,iceland
05-Aug-24,Monday,Commerce Day,National Holiday,iceland
25-Dec-24,Wednesday,Christmas Day,National Holiday,iceland
26-Dec-24,Thursday,Second Day of Christmas,National Holiday,iceland
01-Jan-24,Monday,New Year's Day,Federal Holiday,us
15-Jan-24,Monday,Martin Luther King Jr. Day,Federal Holiday,us
19-Feb-24,Monday,Presidents’ Day,Federal Holiday,us
27-May-24,Monday,Memorial Day,Federal Holiday,us
19-Jun-24,Wednesday,Juneteenth,Federal Holiday,us
04-Jul-24,Thursday,Independence Day,Federal Holiday,us
02-Sep-24,Monday,Labor Day,Federal Holiday,us
14-Oct-24,Monday,Columbus Day,Federal Holiday,us
11-Nov-24,Monday,Veterans Day,Federal Holiday,us
28-Nov-24,Thursday,Thanksgiving Day,Federal Holiday,us
24-Dec-24,Tuesday,Christmas Eve,Federal Holiday,us
25-Dec-24,Wednesday,Christmas Day,Federal Holiday,us
