Date,Day,Name,Type,Country
01-Jan-22,Saturday,New Year's Day,Public Holiday,indonesia
01-Feb-22,Tuesday,Chinese New Year's Day,Public Holiday,indonesia
28-Feb-22,Monday,Ascension of the Prophet Muhammad,Public Holiday,indonesia
03-Mar-22,Thursday,Bali's Day of Silence and Hindu New Year (Nyepi),Public Holiday,indonesia
15-Apr-22,Friday,Good Friday,Public Holiday,indonesia
29-Apr-22,Friday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
01-May-22,Sunday,International Labor Day,Public Holiday,indonesia
02-May-22,Monday,Idul Fitri,Public Holiday,indonesia
03-May-22,Tuesday,Idul Fitri Holiday,Public Holiday,indonesia
04-May-22,Wednesday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
05-May-22,Thursday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
06-May-22,Friday,Idul Fitri Joint Holiday,Joint Holiday,indonesia
16-May-22,Monday,Waisak Day (Buddha's Anniversary),Public Holiday,indonesia
26-May-22,Thursday,Ascension Day of Jesus Christ,Public Holiday,indonesia
01-Jun-22,Wednesday,Pancasila Day,National Holiday,indonesia
10-Jul-22,Sunday,Idul Adha,Public Holiday,indonesia
30-Jul-22,Saturday,Muharram / Islamic New Year,Public Holiday,indonesia
17-Aug-22,Wednesday,Indonesian Independence Day,Public Holiday,indonesia
08-Oct-22,Saturday,Maulid Nabi Muhammad,Public Holiday,indonesia
25-Dec-22,Sunday,Christmas Day,Public Holiday,indonesia
26-Dec-22,Monday,Boxing Day,Joint Holiday,indonesia
16-Apr-22,Saturday,Passover (Day 1),"National Holiday, Hebrew",israel
22-Apr-22,Friday,Passover (Day 7),"National Holiday, Hebrew",israel
05-May-22,Thursday,Yom HaAtzmaut,"National Holiday, Hebrew",israel
05-Jun-22,Sunday,Shavuot,"National Holiday, Hebrew",israel
26-Sep-22,Monday,Rosh Hashana,"National Holiday, Hebrew",israel
27-Sep-22,Tuesday,Rosh Hashana (Day 2),"National Holiday, Hebrew",israel
05-Oct-22,Wednesday,Yom Kippur,"National Holiday, Hebrew",israel
10-Oct-22,Monday,Sukkot (Day 1),"National Holiday, Hebrew",israel
17-Oct-22,Monday,Shemini Atzeret / Simchat Torah,"National Holiday, Hebrew",israel
01-Nov-22,Tuesday,Election Day,National Holiday,israel
01-Jan-22,Saturday,New Year's Day,National Holiday,italy
06-Jan-22,Thursday,Epiphany,National Holiday,italy
17-Apr-22,Sunday,Easter Sunday,National Holiday,italy
18-Apr-22,Monday,Easter Monday,National Holiday,italy
25-Apr-22,Monday,Liberation Day,National Holiday,italy
01-May-22,Sunday,Labor Day,National Holiday,italy
02-Jun-22,Thursday,Republic Day,National Holiday,italy
15-Aug-22,Monday,Assumption of Mary,National Holiday,italy
01-Nov-22,Tuesday,All Saints' Day,National Holiday,italy
08-Dec-22,Thursday,Feast of the Immaculate Conception,National Holiday,italy
25-Dec-22,Sunday,Christmas Day,National Holiday,italy
26-Dec-22,Monday,St. Stephen's Day,National Holiday,italy
01-Jan-22,Saturday,New Year's Day,National Holiday,japan
10-Jan-22,Monday,Coming of Age Day,National Holiday,japan
11-Feb-22,Friday,National Foundation Day,National Holiday,japan
23-Feb-22,Wednesday,Emperor's Birthday,National Holiday,japan
21-Mar-22,Monday,Spring Equinox,National Holiday,japan
29-Apr-22,Friday,Shōwa Day,National Holiday,japan
03-May-22,Tuesday,Constitution Memorial Day,National Holiday,japan
04-May-22,Wednesday,Greenery Day,National Holiday,japan
05-May-22,Thursday,Children's Day,National Holiday,japan
18-Jul-22,Monday,Sea Day,National Holiday,japan
11-Aug-22,Thursday,Mountain Day,National Holiday,japan
19-Sep-22,Monday,Respect for the Aged Day,National Holiday,japan
23-Sep-22,Friday,Autumn Equinox,National Holiday,japan
10-Oct-22,Monday,Sports Day,National Holiday,japan
03-Nov-22,Thursday,Culture Day,National Holiday,japan
23-Nov-22,Wednesday,Labor Thanksgiving Day,National Holiday,japan
